accuracy	(noun) the fact of being exact or correct. Precision, exactness	
adjacent	(adj) very near, next to, or touching	 
compress	(verb) to press something into a smaller space	 
feasibly	(adv) in a way that could be made, done or achieved, posibbly	
gut	(verb) to empty or to hollow out	
integrally	in a whole or complete manner	
overlap	(verb) to live over part of something, to have elements in common	 
retain	(verb) to keep or continue to have something	
seep	(verb) to move or spread slowly out of a hole or through something	
structure	(noun) the way in which the parts of a system or object are arranged or organized, or a system arranged in this way	
