assimilate	(verb) To consume and incorporate; to become similar
cremation	(noun) The act of burning the dead
domesticate	(verb) To make something suitable for being in a home
folklore	(noun) Traditional myths of a people trasmitted orally
fossilize	(verb) To become preserved in clay or stone or ash after deathm so that a natural record is left of the original organism; to become rigid and stuck in old ways
relic	(noun) Something left from a long-ago culture, time period, or person
rite	(noun) A ceremony meant to achieve a certain purpose
ritually	(adv) As part of a traditional ceremony or habit
saga	A long story about important events long ago
vestige	(noun) A visible trace that something once existed
