abduction	(verb) to force someone to go somewhere with you, often using threats or violence
coerce	(verb) to persuade someone forcefully to do something that they are unwilling to do
detain	(verb) to force someone oficially to stay in a place
deviant	(adj) used to describe a person or behaviour that is not usual and is generally considered to be unacceptable
distort	(verb) to change the shape of something so that it looks strange or unnatural
intentionally	(adv) having as a plan or purpose
piracy	(noun) the act of attacking ships in order to steal from them
predicament	(noun) an unpleasant situation that is difficult to get out of
sumggle	(verb) to take things or people to or from a place secretly and often illegally
villainy	(noun) evil behaviour
