compensate	(verb) to pay someone money in exchange for something that has been lost or damaged or for some problem
dynamic	(adj) having a lot of ideas and enthusiasm
enterprising	(adj) good at thinking of and doing new and difficult things, especially things that will make money
exploit	(verb) to use something in a way that helps you
incentive	(noun) something that encourages a person to do something
industrious	(adj) a person who works hard
marginal	(adj) very small in amount or effect
merit	(noun) the quality of being good an deserving praise
promote	(verb) to encourage people to like, buy, use, do or support something
resign	(verb) to give up a job or position by telling your employer that you are leaving
