curriculum	(noun) the subjects studied in a school, college, etc. and what each subject includes
distinctly	(adv) in a clear or noticeable way
erudite	(adj) having or containing a lot of knowledge that is known by very few people
fortify	(verb) to make something stronger, especially in order to protect it
implicitly	(adv) in a way that is suggested but not communicated directly
parochial	(adj) relating to a parish (= an area that has its own church or priest)
rigor	(noun) high standards
roster	(noun) a list of people's names, often with the jobs they have been given to do
secular	(adj) not having any connection with religion
suspend	(verb) to stop something from being active, either temporarily or permanently
