Ancestral – ancestor	(adj-noun) A person related to you who lived a long time ago
cohesion	(noun) the situation when the members of a group or society are united
descendant	(noun) a person who is related to you and who lives after you, such as your child or grandchild
inheritance	(noun) money or objects that someone gives you when they die
kin	(noun) your closest relation or relations // family
legitimate	(adj) allowed by law // reasonable and aceptable
paternal	(adj) of or like a father
proximity	(noun) the state of being near in space or time
sentiment	(noun) a thought, opionion or idea based on a feeling about a situation, or a way of thinking about something
sibling	(noun) a brother or sister
