allocate	(verb) to give something to someone as their share of a total amount, to use in a particular way
commodity	(noun) a substance or product that can be traded, bought, or sold // a valuable quality
decline	(verb) to gradually become less, worse, or lower
equity	(noun) the value of a company, divided into many equal parts owned by the shareholders, or one of the equal parts into which the value of a company is divided
inflation	(noun) a general, continuous increase in prices
net	(noun) material made of threads of rope, string, wine or plastic with spaces between them, allowing gas, liquid or samll objetcs to go trough, or an object made with this material that is used to limit the  movement of something
per capita	(adv) If you express an amount per capita, you mean that amount for each person
regulate	(verb) to control something by making it work in a particular way
subsidy	(noun) money given as part of the cost of something, to help or encourage it to happen
tangible	(adj) real and not imaginary; able to be shown, touched, or experienced
