abandon	(verb) to leave a place, thing, or personm usually for ever
adversely	(adv) in a way that is harmful o likely to cause problems
aggregate	(noun) something formed by adding together several amounts or things
Cultivation-cultivate	(verb) to prepare land and grow crops on it, or to grow a particular crop
fertilize	(verb) to spread a natural or chemical substance on land or plants, in order to make the grow well
intensify	(verb) to become greater, more serious, or more extreme, or to make something do this
irrigation	(noun) the practice of supplying land with water so that crops and plants will grow
obtain	(verb) to get something, especially by asking for it, buying it, working for it or producing it from something else
photosyntesis	(noun) the process by which a plan uses the energy from the light of the sun to produce its own food
precipitation	(noun) water that falls from the clouds towards the ground, especially as rain or snow
