bribery	(verb) to try to make someone do something for yu by giving them money, presents, or something else that they want
cynically	(adj) believing that people are only interested in themselves and are not sincere
erode	(verb) to rub or be rubbed away gradually
evade	(verb) to avoid or espace from someone os something
grotesque	(adj)strange and unpleasant, especially in a silly or slightly frightening way
integrity	(noun) the quality of being honest and having strong moral principles that you refuse to change
prevalent	(adj) existing very commonly or happening often
reform	(verb) to make an improvement, especially by changing a person’s behaviour or the structure of something 
scandal	(noun) (an action or event that causes) a public feeling of shock and strong moral disapproval
unmask	(verb) to show the bad, and previously hidden, truth about someone or something
