Analyze (us) /analyse (uk)	to study or examine something in detail, in order to discover more about it
assail	to attack someone violently or criticize someone strongly // to cause someone to experience a lot of unpleasant things
contrary	(noun) the opposite
hypothesize	(verb) to give a possible explanation for something
impair	(verb to spoil something or make it weaker so that it is les effective
inference	(noun) a gess that you make or an opinion that you form based on the information that you have
objectively	(adv) in a way that is based on facts and not influenced by personal beliefs or feelings
suspicious	(adj) making you feel that something illegal is happening or that something is wrong
tolerate	(verb) to accept behaviour and beliefs that are different from your own, altough you might not agree with or approve of them
versus	(preposition) used to say that one team or person is competing against another
