amend	(verb) to change the words of a text, especially a law or a legal document // to change for the better fot he better
biased 	(adj)  showing an unreasonable like or dislike for a person based on personal opinions
burden 	(noun) a heavy load that you carry // something difficult or unpleasant that you have to deal with or worry about
counter	As verb: to act in opposition to; to offer in response // As noun: mostrador
de facto	(adj) existing in fact, although perhaps not intended, legal, or accepted
discriminate	(verb) o treat a person or particular group of people differently, especially in a worse  way from the way in which you treat other people, because of their skin colour, sex, sexuality, etc // to choose carfully among options
notion	(noun) a belief or idea
oppress	(verb) to govern people in an unfair and cruel way and prevent them from having opportunities and freedom
paradigm	(noun) A pattern or model; a set of assumptions
prejudiced	(adj)causing to judge prematurely and unfairly /  showing an unreasonable dislike for something or someone
