agnostic	(noun) someone who does not know, or believes that it is impossible to know, if god exists	
animism	(noun) the belief that all natural things, such as plants, animals, rocks, and thunder, have spirits and can influence human events	 
atheist	(noun) someone who does not believe in any God or gods	 
be inclined to	(adj) likely or wanting to do something	
contemplate	(verb) to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way	
deify	(verb) to make someone or something into a god	
ecclesiastical	(adj) belonging to or connected with the Christian religion	 
exalt	(verb) to raise someone to a higer rank or more powerful position	
pious	(adj) strongly believing in religion, and living in a way that shows this belief	
sacrifice	(verb) to give up something that is valuable to you inorder to help another person	
