anesthesia	(noun) Techniques for reducing sensation and feeling, especailly to control pain
augment	(verb) To make bigger or better by adding to
certifiably	(adv) In a manner that is officially recognized
complication	(noun) A factor that makes something more difficult or complex
cure	(verb) To restore to health
implant	(verb) To set in firmly; to insert in the body surgically
inject	(verb) To insert a liquid by means of a syringe
obese	(adj) Excessively overweight
procedure 	(noun) A specific way of performing or doing something
scar 	(noun) A mark on the skin left after a wound has healed; a lasting sign of damage, either mental or physical
