advent 	(noun) the fact of an event happening, an invetion being made, or a person arriving
ambiguous	(adj) having or expressing more than one possible meaning, sometines intentionally
connotation	(noun) a feeling or idea that is suggested by a particular word although it need not to be a part of the word’s meaning, or something suggested by an object or situation
decipher 	(verb) to discover the meaning of something written badly or in a difficult or hidden way
denote	(verb) to represent something
illiterate	(adj) unable to read and write // knowing a little or nothing about a particular subject
ingenious	(adj) (of a person) very inteliggent and skilful, or (of a thing) skilfully made or planned and involving new ideas and methods
inscription	(noun) words that are wirtten or cut in something
phonetic	(adj) using special signs to represent the different sounds made by the voice in speech
symbolic	(adj) representing something else
