annex 	(verb) to take possession of an area or land or country, usually by force or without permission
apex	(noun) the highest point or top of something
collapse	(verb) to fall down suddleny because of pressure or having no strength or support
conquest	(verb) to take control or posession of foreign land, or a group of people, by force
devise	(verb) to invent a plant, system, object.. usually using your intelligence or imagination 
invasive	(adj) moving into all areas of something and difficult to stop
prevailing	(adj) existing in a particular place or at a particular time
resist	(verb) to fight against something or someone that is attacking you
severely	(adv) very seriously
violation	(noun) an action that breaks or acts against something, especially a law, agreement, principle, or something that should be treated with respect
